STARTTID;SLUTTID;PRISOMRÅDE;FORBRUKSGRUPPE;VOLUM_KWH;ANTALL_MÅLEPUNKT
2026-09-13T06:00:00+02:00;2026-09-13T07:00:00+02:00;NO5;Tertiære Tjenester;204618,120;27954
2026-09-13T07:00:00+02:00;2026-09-13T08:00:00+02:00;NO1;Hytter og fritidseiendommer;63612,336;110801
2026-09-13T07:00:00+02:00;2026-09-13T08:00:00+02:00;NO1;Husholdning;1048846,370;1122291
2026-09-13T07:00:00+02:00;2026-09-13T08:00:00+02:00;NO1;Primær Industri;39832,417;7482
2026-09-13T07:00:00+02:00;2026-09-13T08:00:00+02:00;NO1;Sekundær Industri;472643,394;15107
2026-09-13T07:00:00+02:00;2026-09-13T08:00:00+02:00;NO1;Tertiære Tjenester;775498,287;96213
2026-09-13T07:00:00+02:00;2026-09-13T08:00:00+02:00;NO2;Hytter og fritidseiendommer;54236,576;106610
2026-09-13T07:00:00+02:00;2026-09-13T08:00:00+02:00;NO2;Husholdning;673359,201;634331
2026-09-13T07:00:00+02:00;2026-09-13T08:00:00+02:00;NO2;Primær Industri;95078,854;5761
2026-09-13T07:00:00+02:00;2026-09-13T08:00:00+02:00;NO2;Sekundær Industri;2060004,598;12574
2026-09-13T07:00:00+02:00;2026-09-13T08:00:00+02:00;NO2;Tertiære Tjenester;436768,431;70977
2026-09-13T07:00:00+02:00;2026-09-13T08:00:00+02:00;NO3;Hytter og fritidseiendommer;36348,980;62802
2026-09-13T07:00:00+02:00;2026-09-13T08:00:00+02:00;NO3;Husholdning;489873,806;412172
2026-09-13T07:00:00+02:00;2026-09-13T08:00:00+02:00;NO3;Primær Industri;94514,739;10290
2026-09-13T07:00:00+02:00;2026-09-13T08:00:00+02:00;NO3;Sekundær Industri;1674149,218;9243
2026-09-13T07:00:00+02:00;2026-09-13T08:00:00+02:00;NO3;Tertiære Tjenester;382672,538;52404
2026-09-13T07:00:00+02:00;2026-09-13T08:00:00+02:00;NO4;Hytter og fritidseiendommer;29124,595;44167
2026-09-13T07:00:00+02:00;2026-09-13T08:00:00+02:00;NO4;Husholdning;326406,933;245817
2026-09-13T07:00:00+02:00;2026-09-13T08:00:00+02:00;NO4;Primær Industri;63560,883;3977
2026-09-13T07:00:00+02:00;2026-09-13T08:00:00+02:00;NO4;Sekundær Industri;1126981,666;6125
2026-09-13T07:00:00+02:00;2026-09-13T08:00:00+02:00;NO4;Tertiære Tjenester;304203,705;40302
2026-09-13T07:00:00+02:00;2026-09-13T08:00:00+02:00;NO5;Hytter og fritidseiendommer;33647,352;48405
2026-09-13T07:00:00+02:00;2026-09-13T08:00:00+02:00;NO5;Husholdning;298081,832;260411
2026-09-13T07:00:00+02:00;2026-09-13T08:00:00+02:00;NO5;Primær Industri;13651,769;1953
2026-09-13T07:00:00+02:00;2026-09-13T08:00:00+02:00;NO5;Sekundær Industri;1055123,017;5019
2026-09-13T07:00:00+02:00;2026-09-13T08:00:00+02:00;NO5;Tertiære Tjenester;202293,517;27954
2026-09-13T08:00:00+02:00;2026-09-13T09:00:00+02:00;NO1;Hytter og fritidseiendommer;68487,244;110801
2026-09-13T08:00:00+02:00;2026-09-13T09:00:00+02:00;NO1;Husholdning;1155554,101;1122291
2026-09-13T08:00:00+02:00;2026-09-13T09:00:00+02:00;NO1;Primær Industri;37467,194;7482
2026-09-13T08:00:00+02:00;2026-09-13T09:00:00+02:00;NO1;Sekundær Industri;452882,413;15107
2026-09-13T08:00:00+02:00;2026-09-13T09:00:00+02:00;NO1;Tertiære Tjenester;795803,609;96213
2026-09-13T08:00:00+02:00;2026-09-13T09:00:00+02:00;NO2;Hytter og fritidseiendommer;58821,669;106610
2026-09-13T08:00:00+02:00;2026-09-13T09:00:00+02:00;NO2;Husholdning;740445,399;634331
2026-09-13T08:00:00+02:00;2026-09-13T09:00:00+02:00;NO2;Primær Industri;95159,524;5761
2026-09-13T08:00:00+02:00;2026-09-13T09:00:00+02:00;NO2;Sekundær Industri;2058328,126;12574
2026-09-13T08:00:00+02:00;2026-09-13T09:00:00+02:00;NO2;Tertiære Tjenester;439542,166;70977
2026-09-13T08:00:00+02:00;2026-09-13T09:00:00+02:00;NO3;Hytter og fritidseiendommer;39181,292;62802
2026-09-13T08:00:00+02:00;2026-09-13T09:00:00+02:00;NO3;Husholdning;534097,321;412172
2026-09-13T08:00:00+02:00;2026-09-13T09:00:00+02:00;NO3;Primær Industri;98540,789;10290
2026-09-13T08:00:00+02:00;2026-09-13T09:00:00+02:00;NO3;Sekundær Industri;1692349,922;9243
2026-09-13T08:00:00+02:00;2026-09-13T09:00:00+02:00;NO3;Tertiære Tjenester;392100,064;52404
2026-09-13T08:00:00+02:00;2026-09-13T09:00:00+02:00;NO4;Hytter og fritidseiendommer;31463,047;44167
2026-09-13T08:00:00+02:00;2026-09-13T09:00:00+02:00;NO4;Husholdning;350797,659;245817
2026-09-13T08:00:00+02:00;2026-09-13T09:00:00+02:00;NO4;Primær Industri;66081,928;3977
